item_brand;item_category;item_category2;item_id;item_name;price;discount;item_coupon
elpozo;charcuteria y quesos;jamon cocido lacon fiambres y mortadela;146710;jamon cocido extra elpozo 1954 sobre 150 g;2;;
elpozo;charcuteria y quesos;jamon cocido lacon fiambres y mortadela;178002;fiambre de pavo sandwich elpozo bandeja 270 g;2;;
nuestra alacena de dia;charcuteria y quesos;jamon cocido lacon fiambres y mortadela;273731;pechuga de pavo bajo en sal nuestra alacena de dia sobre 200 g;1.48;0.49;CLUB_bajadadeprecio
nuestra alacena de dia;charcuteria y quesos;jamon cocido lacon fiambres y mortadela;273733;jamon de pavo nuestra alacena de dia sobre 200 g;1.48;;
nuestra alacena de dia;charcuteria y quesos;jamon cocido lacon fiambres y mortadela;273736;jamon cocido extra bajo en sal nuestra alacena de dia sobre 200 g;1.99;;
nuestra alacena de dia;charcuteria y quesos;jamon cocido lacon fiambres y mortadela;273737;jamon cocido extra 97 carne nuestra alacena de dia sobre 150 g;1.53;;
nuestra alacena de dia;charcuteria y quesos;jamon cocido lacon fiambres y mortadela;273740;fiambre sandwich nuestra alacena de dia sobre 250 g;1.54;;
nuestra alacena de dia;charcuteria y quesos;jamon cocido lacon fiambres y mortadela;273742;fiambre maxi york nuestra alacena de dia sobre 400 g;1.9;;
nuestra alacena de dia;charcuteria y quesos;jamon cocido lacon fiambres y mortadela;273745;lacon ahumado nuestra alacena de dia sobre 200 g;2.29;;
nuestra alacena de dia;charcuteria y quesos;jamon cocido lacon fiambres y mortadela;273749;bacon nuestra alacena de dia sobre 200 g;1.99;;
nuestra alacena de dia;charcuteria y quesos;jamon cocido lacon fiambres y mortadela;273750;bacon en tiras nuestra alacena de dia bandeja 2 x 100 g;1.68;;
nuestra alacena de dia;charcuteria y quesos;jamon cocido lacon fiambres y mortadela;273810;pechuga de pavo nuestra alacena de dia sobre 2 x 200 g;3.37;;
nuestra alacena de dia;charcuteria y quesos;jamon cocido lacon fiambres y mortadela;273957;jamon cocido extra nuestra alacena de dia sobre 2 x 225 g;3.45;;
nuestra alacena de dia;charcuteria y quesos;jamon cocido lacon fiambres y mortadela;273959;chopped pork nuestra alacena de dia sobre 250 g;1.39;;
nuestra alacena de dia;charcuteria y quesos;jamon cocido lacon fiambres y mortadela;273960;mortadela nuestra alacena de dia sobre 250 g;1.25;;
nuestra alacena de dia;charcuteria y quesos;jamon cocido lacon fiambres y mortadela;273961;mortadela con aceitunas nuestra alacena de dia sobre 250 g;1.25;;
nuestra alacena de dia;charcuteria y quesos;jamon cocido lacon fiambres y mortadela;273965;pechuga de pavo 90 carne nuestra alacena de dia sobre 120 g;2.19;;
serrano;charcuteria y quesos;jamon cocido lacon fiambres y mortadela;296598;pavo trufado con pistachos serrano sobre 150 g;1.89;;
elpozo;charcuteria y quesos;jamon cocido lacon fiambres y mortadela;298369;jamon cocido elpozo sobre 80 g;1;;
oscar mayer;charcuteria y quesos;jamon cocido lacon fiambres y mortadela;67934;bacon oscar mayer sobre 150 g;2.29;;
navidul;charcuteria y quesos;jamon curado y paleta;118111;jamon curado navidul sobre 50 g;1.1;;
volatin;charcuteria y quesos;jamon curado y paleta;188085;jamon bodega volatin 65 kg;38.5;16.5;CLUB_bajadadeprecio
elpozo;charcuteria y quesos;jamon curado y paleta;215928;jamon de cebo iberico 50 elpozo sobre 60 g;3.49;;
navidul;charcuteria y quesos;jamon curado y paleta;220189;jamon curado bajo en sal navidul sobre 50 g;1.1;;
elpozo;charcuteria y quesos;jamon curado y paleta;262594;jamon curado elpozo 1954 sobre 105 g;2;;
elpozo;charcuteria y quesos;jamon curado y paleta;265993;jamon curado elpozo 1954 bandeja 2 x 80 g;2.25;0.75;CLUB_bajadadeprecio
nuestra alacena de dia;charcuteria y quesos;jamon curado y paleta;274051;jamon serrano nuestra alacena de dia bandeja 200 g;3.65;;
nuestra alacena de dia;charcuteria y quesos;jamon curado y paleta;274052;medias lonchas jamon serrano nuestra alacena de dia bandeja 100 g;1.66;;
nuestra alacena de dia;charcuteria y quesos;jamon curado y paleta;274053;lonchas extrafinas jamon serrano nuestra alacena de dia bandeja 120 g;2.45;;
nuestra alacena de dia;charcuteria y quesos;jamon curado y paleta;274055;paleta curada 50 duroc nuestra alacena de dia bandeja 110 g;2.59;;
nuestra alacena de dia;charcuteria y quesos;jamon curado y paleta;274056;paleta curada nuestra alacena de dia bandeja 200 g;3.85;;
nuestra alacena de dia;charcuteria y quesos;jamon curado y paleta;274057;jamon de cebo iberico 50 nuestra alacena de dia bandeja 90 g;4.64;;
nuestra alacena de dia;charcuteria y quesos;jamon curado y paleta;274058;paleta de cebo iberica 50 nuestra alacena de dia bandeja 100 g;4.99;;
nuestra alacena de dia;charcuteria y quesos;jamon curado y paleta;274059;mini taquitos de jamon nuestra alacena de dia bandeja 2 x 75 g;2.21;;
nuestra alacena de dia;charcuteria y quesos;jamon curado y paleta;274060;pizcas de jamon de cebo iberico 50  nuestra alacena de dia bandeja 60 g;1.99;;
nuestra alacena de dia;charcuteria y quesos;jamon curado y paleta;274061;jamon curado en taco nuestra alacena de dia bolsa 300 g;5.1;;
nuestra alacena de dia;charcuteria y quesos;jamon curado y paleta;293068;petalos jamon serrano 50 duroc nuestra alacena de dia sobre 80 g;2.59;;
boadas;charcuteria y quesos;jamon curado y paleta;296516;jamon serrano gran reserva 50 duroc boadas sobre 100 g;3.79;;
elpozo;charcuteria y quesos;jamon curado y paleta;296789;paleta de cebo iberica 50 elpozo sobre 70 g;3.49;;
navidul;charcuteria y quesos;jamon curado y paleta;86666;jamon serrano en taquitos navidul bandeja 100 g;2;;
elpozo;charcuteria y quesos;lomo chorizo fuet salchichon;115088;sobrasada elpozo tarrina 250 g;1.95;;
navidul;charcuteria y quesos;lomo chorizo fuet salchichon;134228;cana de lomo navidul sobre 40 g;1.1;;
campofrio;charcuteria y quesos;lomo chorizo fuet salchichon;148112;mini fuet campofrio bolsa 50 g;1.49;;
revilla;charcuteria y quesos;lomo chorizo fuet salchichon;15976;chorizo revilla sobre 65 g;1;;
elpozo;charcuteria y quesos;lomo chorizo fuet salchichon;176887;salchichon nobleza elpozo bandeja 65 g;1;;
nuestra alacena de dia;charcuteria y quesos;lomo chorizo fuet salchichon;273976;chorizo extra dulce nuestra alacena de dia bolsa 270 g;2.49;;
nuestra alacena de dia;charcuteria y quesos;lomo chorizo fuet salchichon;273977;chorizo extra picante nuestra alacena de dia bolsa 270 g;2.49;;
nuestra alacena de dia;charcuteria y quesos;lomo chorizo fuet salchichon;273982;chorizo de pamplona extra nuestra alacena de dia bandeja 2 x 1125 g;1.95;;
nuestra alacena de dia;charcuteria y quesos;lomo chorizo fuet salchichon;273988;chorizo extra nuestra alacena de dia bandeja 2 x 100 g;1.37;0.46;CLUB_bajadadeprecio
nuestra alacena de dia;charcuteria y quesos;lomo chorizo fuet salchichon;273991;chorizo y salchichon extra nuestra alacena de dia bandeja 2 x 100 g;2.39;;
nuestra alacena de dia;charcuteria y quesos;lomo chorizo fuet salchichon;273996;chorizo iberico extra nuestra alacena de dia bandeja 2 x 60 g;1.99;;
nuestra alacena de dia;charcuteria y quesos;lomo chorizo fuet salchichon;274063;lomo embuchado nuestra alacena de dia bandeja 2 x 70 g;2.63;;
nuestra alacena de dia;charcuteria y quesos;lomo chorizo fuet salchichon;274137;espetec extra nuestra alacena de dia bolsa 170 g;2.19;;
nuestra alacena de dia;charcuteria y quesos;lomo chorizo fuet salchichon;274138;fuet extra nuestra alacena de dia bolsa 2 x 170 g;3.59;;
nuestra alacena de dia;charcuteria y quesos;lomo chorizo fuet salchichon;274140;salchichon extra nuestra alacena de dia bandeja 2 x 100 g;1.76;;
nuestra alacena de dia;charcuteria y quesos;lomo chorizo fuet salchichon;274141;salami extra nuestra alacena de dia bandeja 200 g;1.64;;
nuestra alacena de dia;charcuteria y quesos;lomo chorizo fuet salchichon;274186;salchichon iberico extra nuestra alacena de dia bandeja 2 x 60 g;1.99;;
nuestra alacena de dia;charcuteria y quesos;lomo chorizo fuet salchichon;274188;longaniza payes extra nuestra alacena de dia bandeja 2 x 62 g;2.07;;
